10000[16]00000000[01]008010000002048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[04]4c[17]
60 [16]00000000[01]003000001[04]39[17]
20 [16]00000000[01]0040100000[02]Girls 200m Medley                    [04]8C[17]
90 [16]00000000[01]0040101100[02]    8.8 [04]AC[17]
110 [16]00000000[01]0040101100[02]    8.9 [04]AD[17]
90 [16]00000000[01]0040101100[02]    9.0 [04]A5[17]
90 [16]00000000[01]0040101100[02]    9.1 [04]A6[17]
110 [16]00000000[01]0040101100[02]    9.2 [04]A7[17]
90 [16]00000000[01]0040101100[02]    9.3 [04]A8[17]
110 [16]00000000[01]0040101100[02]    9.4 [04]A9[17]
110 [16]00000000[01]0040101100[02]    9.5 [04]AA[17]
80 [16]00000000[01]0040101100[02]    9.6 [04]AB[17]
90 [16]00000000[01]0040101100[02]    9.7 [04]AC[17]
110 [16]00000000[01]0040101100[02]    9.8 [04]AD[17]
100 [16]00000000[01]0040101100[02]    9.9 [04]AE[17]
90 [16]00000000[01]0040101100[02]   10.0 [04]AD[17]
110 [16]00000000[01]0040101100[02]   10.1 [04]AE[17]
110 [16]00000000[01]0040101100[02]   10.2 [04]AF[17]
90 [16]00000000[01]0040101100[02]   10.3 [04]B0[17]
90 [16]00000000[01]0040101100[02]   10.4 [04]B1[17]
90 [16]00000000[01]0040101100[02]   10.5 [04]B2[17]
110 [16]00000000[01]0040101100[02]   10.6 [04]B3[17]
110 [16]00000000[01]0040101100[02]   10.7 [04]B4[17]
90 [16]00000000[01]0040101100[02]   10.8 [04]B5[17]
90 [16]00000000[01]0040101100[02]   10.9 [04]B6[17]
110 [16]00000000[01]0040101100[02]   11.0 [04]AE[17]
80 [16]00000000[01]0040101100[02]   11.1 [04]AF[17]
110 [16]00000000[01]0040101100[02]   11.2 [04]B0[17]
90 [16]00000000[01]0040101100[02]   11.3 [04]B1[17]
110 [16]00000000[01]0040101100[02]   11.4 [04]B2[17]
110 [16]00000000[01]0040101100[02]   11.5 [04]B3[17]
80 [16]00000000[01]0040101100[02]   11.6 [04]B4[17]
110 [16]00000000[01]0040101100[02]   11.7 [04]B5[17]
110 [16]00000000[01]0040101100[02]   11.8 [04]B6[17]
90 [16]00000000[01]0040101100[02]   11.9 [04]B7[17]
90 [16]00000000[01]0040101100[02]   12.0 [04]AF[17]
80 [16]00000000[01]0040101100[02]   12.1 [04]B0[17]
130 [16]00000000[01]0040101100[02]   12.2 [04]B1[17]
90 [16]00000000[01]0040101100[02]   12.3 [04]B2[17]
